CLASS,TERM,TRANSFORMED_FEATURE,COEFFICIENT
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_1,0.02470345078332559
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_2,0.012768407426807517
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_3,-0.035327208588499144
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_4,-0.05676120148691564
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_5,-0.014443857879227476
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_6,0.01469492466417849
3,DURATION_STATE_0,DURATION_STATE_0__basis_0,0.20606885892911875
3,DURATION_STATE_0,DURATION_STATE_0__basis_1,0.1344110745444423
3,DURATION_STATE_0,DURATION_STATE_0__basis_2,0.022375411302812044
3,DURATION_STATE_0,DURATION_STATE_0__basis_3,-0.0498330460936239
3,DURATION_STATE_0,DURATION_STATE_0__basis_4,-0.0818124040264461
3,DURATION_STATE_0,DURATION_STATE_0__basis_5,-0.10323377418376747
3,DURATION_STATE_0,DURATION_STATE_0__basis_6,-0.12528601745696563
3,DURATION_STATE_1,DURATION_STATE_1__basis_0,0.11716328686615281
3,DURATION_STATE_1,DURATION_STATE_1__basis_1,0.07407711854044315
3,DURATION_STATE_1,DURATION_STATE_1__basis_2,0.005940427598568289
3,DURATION_STATE_1,DURATION_STATE_1__basis_3,-0.029874068467479677
3,DURATION_STATE_1,DURATION_STATE_1__basis_4,-0.04254999941330778
3,DURATION_STATE_1,DURATION_STATE_1__basis_5,-0.055039886902760175
3,DURATION_STATE_1,DURATION_STATE_1__basis_6,-0.06724067544537979
3,DURATION_STATE_2,DURATION_STATE_2__basis_0,0.02752872910195918
3,DURATION_STATE_2,DURATION_STATE_2__basis_1,0.01540362213157199
3,DURATION_STATE_2,DURATION_STATE_2__basis_2,0.000700082956702543
3,DURATION_STATE_2,DURATION_STATE_2__basis_3,-0.00012530163715535785
3,DURATION_STATE_2,DURATION_STATE_2__basis_4,-0.007941571883089391
3,DURATION_STATE_2,DURATION_STATE_2__basis_5,-0.012609461497763885
3,DURATION_STATE_2,DURATION_STATE_2__basis_6,-0.018430497655179214
3,DURATION_STATE_3,DURATION_STATE_3__basis_0,-0.3563240116258925
3,DURATION_STATE_3,DURATION_STATE_3__basis_1,-0.22550031734639367
3,DURATION_STATE_3,DURATION_STATE_3__basis_2,-0.01666164086628319
3,DURATION_STATE_3,DURATION_STATE_3__basis_3,0.09006795905566956
3,DURATION_STATE_3,DURATION_STATE_3__basis_4,0.1354089490689197
3,DURATION_STATE_3,DURATION_STATE_3__basis_5,0.17460645333756458
3,DURATION_STATE_3,DURATION_STATE_3__basis_6,0.2090953244263228
