N_STATES,MODEL,SPLIT,FEATURE_GROUP,REPLICATE,BLOCK_LENGTH,GROUP_COLUMN_COUNT,BASELINE_LOG_LOSS,PERMUTED_LOG_LOSS,DELTA_LOG_LOSS,BASELINE_BRIER_SCORE,PERMUTED_BRIER_SCORE,DELTA_BRIER_SCORE,BASELINE_ACCURACY,PERMUTED_ACCURACY,DELTA_ACCURACY,BASELINE_ECE,PERMUTED_ECE,DELTA_ECE,BASELINE_EXIT_LOG_LOSS,PERMUTED_EXIT_LOG_LOSS,DELTA_EXIT_LOG_LOSS,BASELINE_EXIT_BRIER_SCORE,PERMUTED_EXIT_BRIER_SCORE,DELTA_EXIT_BRIER_SCORE
4,MLG,validation,market,127,20,6,0.5670534554876949,0.5693080606575328,0.0022546051698378866,0.3109336035575302,0.3117362410368753,0.0008026374793451141,0.81005291005291,0.807936507936508,-0.002116402116402072,0.04891760686561229,0.05069495127973492,0.0017773444141226252,0.48011776329980027,0.4813970516101358,0.0012792883103355246,0.15241486525869744,0.15289959378961315,0.0004847285309157179
4,MLG,validation,market,128,20,6,0.5670534554876949,0.569290516236177,0.002237060748482067,0.3109336035575302,0.3116446888168248,0.000711085259294586,0.81005291005291,0.81005291005291,0.0,0.04891760686561229,0.05348670161416785,0.0045690947485555605,0.48011776329980027,0.4812953870726388,0.001177623772838532,0.15241486525869744,0.15284758621532898,0.0004327209566315493
4,MLG,validation,market,129,20,6,0.5670534554876949,0.568898106792448,0.0018446513047530866,0.3109336035575302,0.311755907357981,0.0008223038004507854,0.81005291005291,0.81005291005291,0.0,0.04891760686561229,0.050969294428632905,0.0020516875630206127,0.48011776329980027,0.4814387798953729,0.001321016595572655,0.15241486525869744,0.15296056234696762,0.0005456970882701806
4,MLG,validation,market,130,20,6,0.5670534554876949,0.5685127142086797,0.0014592587209847352,0.3109336035575302,0.31177013183554275,0.0008365282780125605,0.81005291005291,0.8074074074074075,-0.002645502645502562,0.04891760686561229,0.05203244890334613,0.0031148420377338365,0.48011776329980027,0.48166369324610636,0.0015459299463060905,0.15241486525869744,0.15293227854868097,0.0005174132899835315
4,MLG,validation,market,131,20,6,0.5670534554876949,0.5669946470848245,-5.880840287042499e-05,0.3109336035575302,0.3106397001270986,-0.00029390343043161904,0.81005291005291,0.8095238095238095,-0.0005291005291004902,0.04891760686561229,0.047804897793109424,-0.0011127090725028682,0.48011776329980027,0.48012204952562115,4.286225820882006e-06,0.15241486525869744,0.15225850938954477,-0.00015635586915266342
4,MLG,validation,market,132,20,6,0.5670534554876949,0.5682850802850892,0.0012316247973942485,0.3109336035575302,0.31160470519004324,0.0006711016325130492,0.81005291005291,0.808994708994709,-0.0010582010582009804,0.04891760686561229,0.05057242803547496,0.0016548211698626664,0.48011776329980027,0.48132472669798904,0.001206963398188765,0.15241486525869744,0.15276431648263503,0.0003494512239375913
4,MLG,validation,market,133,20,6,0.5670534554876949,0.5673624751329238,0.0003090196452288918,0.3109336035575302,0.3110879650105906,0.00015436145306041427,0.81005291005291,0.808994708994709,-0.0010582010582009804,0.04891760686561229,0.05106873797230409,0.002151131106691795,0.48011776329980027,0.48039708220128874,0.00027931890148846783,0.15241486525869744,0.15251566062662775,0.00010079536793031196
4,MLG,validation,market,134,20,6,0.5670534554876949,0.5693123017823538,0.0022588462946588894,0.3109336035575302,0.31183074648373654,0.0008971429262063513,0.81005291005291,0.808994708994709,-0.0010582010582009804,0.04891760686561229,0.05058653958282382,0.0016689327172115243,0.48011776329980027,0.48177526829318884,0.00165750499338857,0.15241486525869744,0.15291739664558898,0.0005025313868915471
4,MLG,validation,market,135,20,6,0.5670534554876949,0.5677597525101444,0.0007062970224495091,0.3109336035575302,0.31107699438081104,0.0001433908232808534,0.81005291005291,0.8111111111111111,0.0010582010582010914,0.04891760686561229,0.051274128780901713,0.002356521915289421,0.48011776329980027,0.4802010896516881,8.332635188784687e-05,0.15241486525869744,0.15244305720846854,2.819194977110584e-05
4,MLG,validation,market,136,20,6,0.5670534554876949,0.5683393682490662,0.001285912761371244,0.3109336035575302,0.31150868604456283,0.000575082487032641,0.81005291005291,0.808994708994709,-0.0010582010582009804,0.04891760686561229,0.05002681255167375,0.0011092056860614596,0.48011776329980027,0.48083132125532885,0.0007135579555285765,0.15241486525869744,0.15270651169382912,0.0002916464351316872
