N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,26197,15244.41,-30462.82,-30388.09,334,True,True
2,26337,15243.67,-30461.35,-30386.62,315,True,True
2,26376,15242.5,-30458.99,-30384.26,304,True,True
2,26389,15242.5,-30458.99,-30384.26,304,True,True
2,26429,15243.78,-30461.56,-30386.83,319,True,True
2,26693,15242.5,-30459.0,-30384.27,304,True,True
2,26758,15242.54,-30459.08,-30384.35,304,True,True
2,26779,15242.51,-30459.02,-30384.29,304,True,True
2,27005,15244.36,-30462.72,-30387.99,334,True,True
2,27037,15243.3,-30460.6,-30385.87,311,True,True
2,27055,15240.72,-30455.44,-30380.71,332,True,True
2,27321,15242.5,-30458.99,-30384.26,304,True,True
2,27872,15243.7,-30461.41,-30386.68,315,True,True
2,28155,15242.5,-30458.99,-30384.26,304,True,True
2,28168,15243.67,-30461.34,-30386.61,315,True,True
2,28252,15244.76,-30463.51,-30388.78,334,True,True
2,28663,15244.24,-30462.49,-30387.76,319,True,True
2,28733,15244.39,-30462.79,-30388.06,334,True,True
2,28773,15242.95,-30459.9,-30385.17,311,True,True
2,28999,15242.11,-30458.22,-30383.49,319,True,True
2,29017,15242.81,-30459.61,-30384.88,311,True,True
2,29349,15242.5,-30458.99,-30384.26,304,True,True
2,29389,15245.09,-30464.17,-30389.44,337,True,True
2,29583,15242.99,-30459.98,-30385.25,311,True,True
2,29585,15242.63,-30459.27,-30384.54,304,True,True
2,29602,15242.5,-30458.99,-30384.26,304,True,True
2,29604,15244.03,-30462.06,-30387.33,319,True,True
2,29648,15242.5,-30458.99,-30384.26,304,True,True
2,29798,15242.5,-30458.99,-30384.26,304,True,True
2,29812,15243.91,-30461.82,-30387.09,319,True,True
2,29889,15242.5,-30458.99,-30384.26,304,True,True
2,29911,15242.5,-30459.0,-30384.27,304,True,True
2,29916,15243.87,-30461.74,-30387.01,319,True,True
2,29959,15240.77,-30455.54,-30380.81,332,True,True
2,29987,15242.68,-30459.36,-30384.63,304,True,True
2,30127,15244.61,-30463.23,-30388.5,334,True,True
2,30305,15243.69,-30461.37,-30386.64,312,True,True
2,30435,15242.5,-30458.99,-30384.26,304,True,True
2,30438,15243.66,-30461.32,-30386.59,315,True,True
2,30513,15245.75,-30465.5,-30390.77,338,True,True
2,30690,15242.86,-30459.73,-30385.0,311,True,True
2,30699,15243.88,-30461.77,-30387.04,319,True,True
2,30821,15244.69,-30463.39,-30388.66,334,True,True
2,30843,15243.96,-30461.92,-30387.19,319,True,True
2,30888,15242.5,-30458.99,-30384.26,304,True,True
2,31011,15242.51,-30459.02,-30384.29,304,True,True
2,31018,15243.91,-30461.82,-30387.09,319,True,True
2,31153,15243.91,-30461.82,-30387.09,319,True,True
2,31187,15242.63,-30459.27,-30384.54,304,True,True
2,31254,15245.85,-30465.71,-30390.98,338,True,True
2,31430,15243.53,-30461.06,-30386.33,312,True,True
2,31528,15243.73,-30461.45,-30386.72,319,True,True
2,31604,15242.54,-30459.07,-30384.34,304,True,True
2,31852,15242.5,-30458.99,-30384.26,304,True,True
2,31945,15242.7,-30459.41,-30384.68,304,True,True
2,32001,15242.5,-30458.99,-30384.26,304,True,True
2,32076,15242.52,-30459.04,-30384.31,304,True,True
2,32080,15243.43,-30460.86,-30386.13,312,True,True
2,32417,15242.5,-30458.99,-30384.26,304,True,True
2,32456,15243.67,-30461.35,-30386.62,315,True,True
2,32621,15242.99,-30459.98,-30385.25,311,True,True
2,32706,15243.89,-30461.77,-30387.04,319,True,True
2,32759,15243.02,-30460.03,-30385.3,311,True,True
2,32787,15245.11,-30464.21,-30389.48,337,True,True
2,33095,15243.22,-30460.43,-30385.7,311,True,True
2,33141,15240.89,-30455.77,-30381.04,332,True,True
2,33426,15244.31,-30462.61,-30387.88,334,True,True
2,33494,15242.5,-30459.0,-30384.27,304,True,True
2,33591,15244.83,-30463.65,-30388.92,334,True,True
2,33708,15243.79,-30461.57,-30386.84,319,True,True
2,33744,15243.8,-30461.59,-30386.86,316,True,True
2,33759,15243.81,-30461.61,-30386.88,319,True,True
2,33984,15242.5,-30458.99,-30384.26,304,True,True
2,34238,15243.99,-30461.98,-30387.25,319,True,True
2,34327,15242.5,-30458.99,-30384.26,304,True,True
2,34351,15244.99,-30463.98,-30389.25,337,True,True
2,34435,15242.5,-30458.99,-30384.26,304,True,True
2,34570,15242.5,-30458.99,-30384.26,304,True,True
2,34751,15242.5,-30458.99,-30384.26,304,True,True
2,34819,15245.85,-30465.7,-30390.97,338,True,True
2,34877,15244.28,-30462.55,-30387.82,319,True,True
2,34882,15242.5,-30458.99,-30384.26,304,True,True
2,34892,15244.93,-30463.86,-30389.13,337,True,True
2,34922,15243.45,-30460.89,-30386.16,312,True,True
2,34925,15243.2,-30460.41,-30385.68,311,True,True
2,34982,15243.93,-30461.85,-30387.12,319,True,True
2,35069,15242.5,-30459.0,-30384.27,304,True,True
2,35107,15243.76,-30461.52,-30386.79,319,True,True
2,35536,15243.78,-30461.55,-30386.82,319,True,True
2,35639,15243.06,-30460.11,-30385.38,311,True,True
2,35652,15242.5,-30458.99,-30384.26,304,True,True
2,35734,15242.5,-30458.99,-30384.26,304,True,True
2,35831,15243.65,-30461.3,-30386.57,312,True,True
2,35948,15242.5,-30458.99,-30384.26,304,True,True
2,36068,15240.62,-30455.24,-30380.51,317,True,True
2,36091,15244.59,-30463.17,-30388.44,334,True,True
2,36097,15243.86,-30461.72,-30386.99,319,True,True
2,36187,15243.14,-30460.28,-30385.55,311,True,True
2,36200,15242.5,-30458.99,-30384.26,304,True,True
2,36231,15242.5,-30458.99,-30384.26,304,True,True
2,36250,15242.64,-30459.28,-30384.55,304,True,True
2,36413,15243.74,-30461.47,-30386.74,319,True,True
2,36647,15244.9,-30463.79,-30389.06,334,True,True
2,36832,15243.26,-30460.52,-30385.79,311,True,True
2,36836,15242.5,-30458.99,-30384.26,304,True,True
2,36894,15242.5,-30458.99,-30384.26,304,True,True
2,36897,15244.17,-30462.34,-30387.61,319,True,True
2,36903,15242.5,-30458.99,-30384.26,304,True,True
2,37010,15242.5,-30458.99,-30384.26,304,True,True
2,37041,15243.73,-30461.46,-30386.73,315,True,True
2,37046,15244.09,-30462.17,-30387.44,319,True,True
2,37050,15242.5,-30459.0,-30384.27,304,True,True
2,37128,15243.06,-30460.12,-30385.39,311,True,True
2,37180,15242.61,-30459.22,-30384.49,304,True,True
2,37512,15243.94,-30461.89,-30387.16,316,True,True
2,37915,15242.5,-30458.99,-30384.26,304,True,True
2,38032,15244.02,-30462.04,-30387.31,319,True,True
2,38257,15243.3,-30460.61,-30385.88,311,True,True
2,38300,15243.54,-30461.08,-30386.35,312,True,True
2,38383,15244.5,-30463.01,-30388.28,334,True,True
2,38458,15244.6,-30463.2,-30388.47,334,True,True
2,38479,15243.24,-30460.48,-30385.75,311,True,True
2,38536,15242.5,-30458.99,-30384.26,304,True,True
