N_STATES,SEED,TRAIN_LOG_LIKELIHOOD,AIC,BIC,CONVERGED,ALL_STATES_USED,MIN_REGIME_COUNT,VALID_FOR_SELECTION,ERROR
4,1074497541,-13991.711020409522,28229.422040819045,28936.482623758708,True,True,258,True,
4,1627981018,-14154.231261370425,28554.46252274085,29261.523105680513,True,True,234,True,
4,432652525,-14154.231271734965,28554.46254346993,29261.523126409593,True,True,229,True,
4,1803345564,-14153.963116497192,28553.926232994385,29260.986815934048,True,True,239,True,
4,1190961752,-13998.96091389704,28243.92182779408,28950.982410733744,True,True,280,True,
4,1766867091,-13991.55074707382,28229.10149414764,28936.1620770873,True,True,258,True,
4,354826744,-13991.711019566575,28229.42203913315,28936.482622072814,True,True,258,True,
4,1497586409,-13991.550745108903,28229.101490217807,28936.16207315747,True,True,258,True,
4,1906728905,-14153.963116331739,28553.926232663478,29260.98681560314,True,True,239,True,
4,1917963000,-13991.711018901144,28229.422037802287,28936.48262074195,True,True,258,True,
4,942484251,-13991.711019436127,28229.422038872253,28936.482621811916,True,True,258,True,
4,197860367,-14154.23126173968,28554.46252347936,29261.523106419023,True,True,234,True,
4,1843824954,-13991.550747644877,28229.101495289753,28936.162078229416,True,True,258,True,
4,1990212633,-14154.231261112944,28554.462522225887,29261.52310516555,True,True,234,True,
4,1356488961,-13991.550745025945,28229.10149005189,28936.162072991552,True,True,258,True,
4,1405681601,-13996.000671550697,28238.001343101394,28945.061926041057,True,True,253,True,
4,1580016156,-14000.767685398601,28247.535370797203,28954.595953736865,True,True,276,True,
4,967354515,-13991.711020446513,28229.422040893027,28936.48262383269,True,True,258,True,
4,2095133008,-13996.000646162507,28238.001292325014,28945.061875264677,True,True,253,True,
4,1540770694,-14154.231263781447,28554.462527562893,29261.523110502556,True,True,234,True,
4,137046512,-13991.711019620896,28229.422039241792,28936.482622181455,True,True,258,True,
4,1634535035,-14154.231260348533,28554.462520697067,29261.52310363673,True,True,234,True,
4,952224731,-14312.746364690454,28871.49272938091,29578.55331232057,True,True,209,True,
4,1843166506,-13991.711020370525,28229.42204074105,28936.482623680713,True,True,258,True,
4,1171300101,-14160.012694278852,28566.025388557704,29273.085971497367,True,True,225,True,
4,487991434,-13991.550747126386,28229.101494252773,28936.162077192435,True,True,258,True,
4,184566850,-13991.550747922538,28229.101495845076,28936.16207878474,True,True,258,True,
4,1678403310,-13991.711020239934,28229.42204047987,28936.48262341953,True,True,258,True,
4,1662057920,-13996.000672105543,28238.001344211087,28945.06192715075,True,True,253,True,
4,392022354,-13991.711019254059,28229.422038508117,28936.48262144778,True,True,258,True,
4,796282682,-13993.018252206384,28232.03650441277,28939.09708735243,True,True,279,True,
4,275121926,-13996.000672355834,28238.00134471167,28945.06192765133,True,True,253,True,
4,202244310,-13991.550748014324,28229.10149602865,28936.16207896831,True,True,258,True,
4,1777324397,-14159.76708195519,28565.53416391038,29272.59474685004,True,True,229,True,
