DATE,HARD_STATE,POSTERIOR_STATE_0,POSTERIOR_STATE_1,POSTERIOR_STATE_2,POSTERIOR_STATE_3,MAX_POSTERIOR,POSTERIOR_ENTROPY,NORMALIZED_POSTERIOR_ENTROPY
2019-03-26,0,0.9393623716548108,1.1595673775556417e-05,0.060625368280871596,6.643905419720994e-07,0.9393623716548108,0.2288375167632141,0.165071375301817
2019-03-27,0,0.9528221659849773,9.408477482618533e-06,0.04716775236970167,6.731678384405884e-07,0.9528221659849773,0.19021792383597122,0.13721322770317512
2019-03-28,0,0.9927883542368561,6.429222335159788e-07,0.007210965197676633,3.7643233556791635e-08,0.9927883542368561,0.0427609687139734,0.03084551875362877
2019-03-29,0,0.9896577837800169,2.4882221961315707e-07,0.010341954343241387,1.3054522144795731e-08,0.9896577837800169,0.057571295238756634,0.04152891106925429
2019-04-01,0,0.924202927069455,6.136018869870959e-06,0.07579066778162723,2.6913004789920455e-07,0.924202927069455,0.2684499833565751,0.19364572985762785
2019-04-02,0,0.9918152781156314,6.767554907874185e-07,0.008184009017823641,3.6111054209391914e-08,0.9918152781156314,0.04749022205482534,0.0342569539246061
2019-04-03,0,0.9838120962568594,4.980767547976334e-07,0.016187384752153963,2.0914231953853178e-08,0.9838120962568594,0.08281281930856246,0.05973682186924843
2019-04-04,0,0.9964841579672503,1.1791099129420396e-07,0.00351571773146903,6.390289428558142e-09,0.9964841579672503,0.023377259618914157,0.016863128260890637
2019-04-05,0,0.9950633423044,4.616442928872166e-08,0.004936608739395828,2.791774872672454e-09,0.9950633423044,0.03114399457635373,0.02246564326438915
2019-04-08,0,0.9963840061685988,4.055585462382604e-08,0.0036159511176872767,2.157859374648125e-09,0.9963840061685988,0.023940506421295905,0.017269424945186993
2019-04-09,0,0.9947755011415481,5.5175566505737166e-08,0.0052244408845126345,2.7983727707674576e-09,0.9947755011415481,0.03266314592026088,0.023561479319496474
2019-04-10,0,0.9788240722030493,2.4437305548135435e-07,0.021175660099996836,2.332389840040769e-08,0.9788240722030493,0.10258436140689392,0.07399897473724351
2019-04-11,0,0.95890538133648,3.0426940022183818e-06,0.041091433961084466,1.4200843340043717e-07,0.95890538133648,0.17144134701407995,0.12366879057026853
2019-04-12,0,0.9567679129359042,3.5758144385279906e-06,0.043228305790837085,2.054588201857573e-07,0.9567679129359042,0.17812316168173545,0.1284887010128514
2019-04-15,0,0.9951288465248953,3.2975472395063273e-07,0.004870806807778582,1.6912602177359686e-08,0.9951288465248953,0.030799084150942308,0.02221684298424317
2019-04-16,0,0.9947506939391476,7.61762082212371e-08,0.005249226240580376,3.64406373143443e-09,0.9947506939391476,0.03279355327577723,0.023655548342045918
2019-04-17,0,0.9969866318279688,3.89188876219308e-08,0.0030133273045472833,1.948596270140824e-09,0.9969866318279688,0.02050101884302595,0.014788359109002367
2019-04-18,0,0.9921632370319002,6.73580262496534e-08,0.007836690710946516,4.899127051406134e-09,0.9921632370319002,0.04580681342415616,0.03304263128297805
2019-04-22,0,0.9938867659305269,1.425057520950287e-07,0.0061130842216383565,7.342082685855482e-09,0.9938867659305269,0.03725726402248032,0.026875435021161576
2019-04-23,0,0.9947149647234362,8.462866068038121e-08,0.005284945656212283,4.991690900285755e-09,0.9947149647234362,0.03298092268662432,0.02379070680196761
2019-04-24,0,0.9907146626581602,1.3570146807537347e-07,0.009285191868271002,9.772100731629566e-09,0.9907146626581602,0.05269293850917938,0.03800992053853009
2019-04-25,0,0.9895380561252207,1.7992917467765745e-07,0.010461750608895669,1.3336708996554325e-08,0.9895380561252207,0.058115953252274116,0.041921798776795346
2019-04-26,0,0.9955743655513906,1.4559914523173273e-07,0.00442548045235413,8.397110099463601e-09,0.9955743655513906,0.0284060450118203,0.02049063013491091
2019-04-29,0,0.9943107251966694,8.231603729084165e-08,0.005689188869656635,3.6176366055692835e-09,0.9943107251966694,0.03508295774341528,0.02530700457807114
2019-04-30,0,0.996344056212266,5.649003813076858e-08,0.003655883759635303,3.5380606186593714e-09,0.996344056212266,0.024164954104761407,0.01743132972512434
2019-05-01,0,0.9910678256766513,1.159829396702581e-07,0.00893205054312893,7.797280098207872e-09,0.9910678256766513,0.05103655155928761,0.036815089919329066
2019-05-02,0,0.9848629142381536,7.572198254086922e-07,0.015136260061032395,6.848098853912419e-08,0.9848629142381536,0.0784646904234534,0.05660030987940198
2019-05-03,0,0.9936585483602469,2.3997027504332456e-07,0.00634119707289566,1.4596582478234361e-08,0.9936585483602469,0.03841604129209112,0.027711316131342752
2019-05-06,0,0.995265954992051,7.50489498162433e-08,0.004733965750774203,4.208224925083746e-09,0.995265954992051,0.03006501484522168,0.021687323910727193
2019-05-07,0,0.9445504237191691,1.738749803599481e-06,0.055447721698701706,1.1583232563535263e-07,0.9445504237191691,0.21428018663502424,0.1545704813095555
2019-05-08,0,0.9941192671655279,5.130505401923162e-07,0.005880193348043617,2.64358882447959e-08,0.9941192671655279,0.036072946055667784,0.026021130192383505
2019-05-09,0,0.9922118948668972,1.1958856768462885e-07,0.007787977879240535,7.665294538727275e-09,0.9922118948668972,0.0455717361485623,0.03287305887311557
2019-05-10,0,0.9955804376448838,8.622001756410877e-08,0.004419471391836344,4.743262214750323e-09,0.9955804376448838,0.028372478610745464,0.020466417094725336
2019-05-13,0,0.7434489074858711,4.17750144832751e-06,0.25654644637447255,4.686382078985227e-07,0.7434489074858711,0.5694753636371818,0.4107896415139006
2019-05-14,0,0.9519753197649271,8.428448345480424e-06,0.04801578632116137,4.6546556601852557e-07,0.9519753197649271,0.19274459405323882,0.13903583499938202
2019-05-15,0,0.9917966070609672,7.957318741968475e-07,0.00820254815107479,4.905608379867801e-08,0.9917966070609672,0.04758103864110155,0.03432246424393168
2019-05-16,0,0.9939253619254939,1.5428205395960155e-07,0.006074475819766532,7.972685653539876e-09,0.9939253619254939,0.037060775190056156,0.026733698289097375
2019-05-17,0,0.9951919308582091,9.57577582351204e-08,0.004807968031288807,5.352743736919527e-09,0.9951919308582091,0.030460578059249767,0.021972662454345402
2019-05-20,0,0.9932725452686791,9.20679480905809e-08,0.006727357622934126,5.040438607416153e-09,0.9932725452686791,0.04035373152601728,0.02910906417697488
2019-05-21,0,0.9953476636264997,7.972505668573232e-08,0.004652252295845885,4.352597693312508e-09,0.9953476636264997,0.029627357777595866,0.02137162107019031
2019-05-22,0,0.9951410721382711,8.925460669370199e-08,0.004858833336536351,5.270585828482701e-09,0.9951410721382711,0.03073144921483334,0.022168054690785543
2019-05-23,2,0.4631732298493987,0.00014614026702125735,0.5366698980105407,1.073187303939643e-05,0.5366698980105407,0.6919049167312088,0.4991038960674031
2019-05-24,0,0.9268448966083582,1.3999511435637063e-05,0.07314038969733612,7.141828699142468e-07,0.9268448966083582,0.2618676071555816,0.1888975491064084
