N_STATES,EVENT_ID,TRANSITION_DATE,FROM_STATE,TO_STATE,RELATIVE_DAY,DESTINATION_POSTERIOR,SOURCE_POSTERIOR,MAX_POSTERIOR,NORMALIZED_POSTERIOR_ENTROPY,ROLLING_MEAN_Z_W5_SPXT,ROLLING_STD_RATIO_W5_SPXT,ROLLING_MEAN_Z_W5_LT11TRUU,ROLLING_STD_RATIO_W5_LT11TRUU,ROLLING_MEAN_Z_W20_SPXT,ROLLING_STD_RATIO_W20_SPXT,ROLLING_MEAN_Z_W20_LT11TRUU,ROLLING_STD_RATIO_W20_LT11TRUU
2,113,2015-10-01,1,0,-1,0.41568057902794625,0.5843194209720537,0.5843194209720537,0.9793871967795985,-0.12131668442726973,0.994586669692904,0.2946462032414919,1.1946413498157085,0.025485310830483165,0.8787117361403981,0.05937012061938,1.5022391682545078
2,113,2015-10-01,1,0,0,0.7872112215411595,0.2127887784588405,0.7872112215411595,0.7467796804771488,-0.04584043882551704,0.9980321255188056,0.22439475321911456,1.1651246792002516,-0.03122650772240495,0.8309051059943963,0.12862744634898776,1.4926680160989003
2,113,2015-10-01,1,0,1,0.866861592598186,0.13313840740181399,0.866861592598186,0.565982883539329,0.1602194775400814,1.083971966996377,0.6201887716470742,0.8763830894881763,0.014428947680873378,0.8610379828626634,0.14135223729643726,1.4961155277378226
2,113,2015-10-01,1,0,2,0.5974761104888748,0.40252388951112517,0.5974761104888748,0.9724078426784866,0.7725397029487553,0.5407130739324842,-0.14303358538848884,0.9038867210248986,0.13144503085734302,0.8655598974647296,-0.01300212789423887,1.5188655868525067
2,113,2015-10-01,1,0,3,0.8720938909570956,0.12790610904290442,0.8720938909570956,0.5516675889965021,0.7043181057227719,0.6348118423293024,-0.09425522008993252,0.9356463404347507,0.03207727497961962,0.7849987982035107,0.11404695672170193,1.4574957556430093
2,113,2015-10-01,1,0,4,0.9598529195048866,0.040147080495113396,0.9598529195048866,0.24296614174181713,0.5568534262383862,0.5524321364980521,-0.03010106572987481,0.9080839161412719,0.1098554763159914,0.7592921861885129,0.06758821477294111,1.4550738029501291
2,113,2015-10-01,1,0,5,0.9571586297108853,0.04284137028911462,0.9571586297108853,0.2551714299394111,0.6508848301858563,0.5139517785689869,-0.4357037771798266,0.9940094095464644,0.12181867051257234,0.765338493584212,0.047573179011848724,1.4729262220931394
2,113,2015-10-01,1,0,6,0.9888883649309455,0.011111635069054581,0.9888883649309455,0.08807565203462935,0.4618454350095626,0.5221481114285538,-0.4913747375749181,0.9368362531562296,0.10776278928451952,0.7637376696857187,0.01450197753905035,1.4573871037977315
2,113,2015-10-01,1,0,7,0.9927657109022522,0.0072342890977478876,0.9927657109022522,0.06184157527166582,0.1317589339120637,0.4131359725660187,0.00860350673528396,0.8169743949024932,0.10270546229179581,0.7665707527533306,0.051814775994331874,1.4673902333896938
2,113,2015-10-01,1,0,8,0.9882279749859783,0.011772025014021657,0.9882279749859783,0.09232403063443731,0.11683109975423092,0.42750012487807126,0.1777371864117998,0.991288770851063,0.04191290402753748,0.7490710990042235,0.26594914865687996,1.3372284130934036
