N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,EVENT_COUNT,MEDIAN_DESTINATION_POSTERIOR,BOOTSTRAP_CI_LOWER,BOOTSTRAP_CI_UPPER
4,2,3,-2,8,5.8721402895967994e-05,2.48906988753403e-05,0.0003454246215195739
4,2,3,-1,8,0.00013908479982937855,4.7463657878557365e-05,0.0011127885840203449
4,2,3,0,8,0.76936555994879,0.2750026316024304,0.9996705252567425
4,2,3,1,8,0.6194509915739337,0.1223319302459554,0.9989679498268901
4,2,3,2,8,0.09808683976614237,0.022601127454658376,0.9988963295114277
4,2,3,3,8,0.004061919724384555,0.0012294448166453214,0.3698248079590234
4,2,3,4,8,0.012632259849344058,0.000871827905835294,0.10423475342229667
4,2,3,5,8,0.0018887298084165186,6.808956331953153e-05,0.00993275707379708
4,2,3,6,8,0.005078951772421543,1.7193692401150283e-05,0.11726510923990814
4,2,3,7,8,0.002270335748081612,0.00012194640614035727,0.002920594555865966
4,2,3,8,8,0.0022475256485269242,0.00012253645747508027,0.021787572841211675
4,2,3,9,8,0.0013514839171058896,1.6428267346586854e-05,0.019917411680443114
4,2,3,10,8,0.000567722928034838,0.00012286290992100086,0.009230769331024817
4,3,1,-10,11,0.0003461928705883788,3.665923554571373e-10,0.7648404189951213
4,3,1,-9,11,0.00030699608077860367,5.031156076838829e-06,0.2795557590295191
4,3,1,-8,11,0.0016200811149426808,0.00013580762784281555,0.2166888419988749
4,3,1,-7,11,0.004197454622272849,0.002968866018141764,0.06328445930017905
4,3,1,-6,11,0.04456272071529266,0.0004023779802607235,0.5753178484608097
4,3,1,-5,11,0.11459222127558491,0.00041493751198424676,0.8547799766732794
4,3,1,-4,11,0.005211450352665579,0.0002051254236509173,0.4093332352059242
4,3,1,-3,11,0.019967971735228855,0.0004052873712608572,0.2587880071682685
4,3,1,-2,11,0.10635701244998226,0.003838914426209613,0.5161683928877606
4,3,1,-1,11,0.001103669133973897,2.8907721664203652e-05,0.3470810804282524
