DATE,SPXT,DBLCIX,IBOXIG,JPEICORE,LT11TRUU,LBUTTRUU
2008-04-02,-0.00173,0.02573,-0.00117,0.00186,-0.00092,-0.00087
2008-04-03,0.00131,-0.00341,0.00065,0.00146,0.00022,-0.00192
2008-04-04,0.00081,0.01922,0.00684,0.00374,0.01163,0.00698
2008-04-07,0.00157,0.0091,0.00122,0.00116,-0.0073,-0.00269
2008-04-08,-0.00478,-0.00037,0.00096,0.00076,-0.00216,-0.00151
2008-04-09,-0.00805,0.02328,0.00384,0.00159,0.01177,0.00724
2008-04-10,0.00451,-0.00738,-0.00115,0.00116,-0.00451,-0.00427
2008-04-11,-0.02052,-0.00382,0.00479,0.00195,0.00598,0.00631
2008-04-14,-0.00337,0.0053,-0.00064,0.00029,-0.00509,-0.00154
2008-04-15,0.0046,0.01219,-0.0021,-0.00011,-0.00948,-0.00354
2008-04-16,0.02255,0.012,-0.00615,0.00014,-0.01663,-0.00873
2008-04-17,0.00065,-0.00311,-0.0038,-0.00198,-0.00041,-0.00409
2008-04-18,0.01798,-0.00101,-0.00019,-0.00116,0.0,-0.00037
2008-04-21,-0.00153,-0.00489,0.00399,-0.00076,0.00682,0.00221
2008-04-22,-0.00883,0.01117,0.00128,-0.00152,0.00038,0.00064
2008-04-23,0.0029,-0.00568,6e-05,-4e-05,-0.00121,-0.00129
2008-04-24,0.00642,-0.01904,-0.00045,-0.0021,-0.00854,-0.00934
2008-04-25,0.00649,0.00991,-0.00193,-0.00243,-0.00644,-0.0026
2008-04-28,-0.00101,0.00964,-6e-05,0.00156,0.00322,0.00214
2008-04-29,-0.00387,-0.02253,0.0009,0.002,0.00194,-0.00056
2008-04-30,-0.00381,-0.01458,0.00366,0.00253,0.00748,0.00348
2008-05-01,0.01718,-0.01041,0.00275,0.0053,0.00299,0.00305
2008-05-02,0.00323,0.02443,0.00325,-0.00072,-0.01119,-0.00342
2008-05-05,-0.00445,0.01232,-0.00038,-0.00032,-0.00191,0.00287
2008-05-06,0.00765,0.01713,-0.00236,-0.00032,-0.00912,-0.00208
