N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,SPXT_LAG_0,0.02,0.03377151898734178,1 vs 0,-3.7349312284314804,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0362886075949367,1 vs 0,-3.7225551497378957,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.038805696202531645,1 vs 0,-3.7098672757212947,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.04132278481012659,1 vs 0,-3.696893186251562,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.04383987341772151,1 vs 0,-3.683658461198585,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.04635696202531646,1 vs 0,-3.670188680432248,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.048874050632911406,1 vs 0,-3.656509423822438,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.051391139240506326,1 vs 0,-3.642646271239041,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.05390822784810127,1 vs 0,-3.6286248025519416,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.05642531645569622,1 vs 0,-3.6144705976310267,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.05894240506329114,1 vs 0,-3.6002092363461817,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.06145949367088609,1 vs 0,-3.5858662985672933,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.063976582278481,1 vs 0,-3.5714673641642465,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.06649367088607595,1 vs 0,-3.5570490173015044,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0690107594936709,1 vs 0,-3.542729170758151,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.07152784810126582,1 vs 0,-3.5286621890390593,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.07404493670886077,1 vs 0,-3.515002608591203,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.07656202531645569,1 vs 0,-3.5019049658615597,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.07907911392405063,1 vs 0,-3.4895237972971036,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.08159620253164558,1 vs 0,-3.4780136393448107,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0841132911392405,1 vs 0,-3.4675290284516564,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.08663037974683545,1 vs 0,-3.4582245010646164,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0891474683544304,1 vs 0,-3.4502545936306666,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.09166455696202531,1 vs 0,-3.443773842596782,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.09418164556962026,1 vs 0,-3.438936784409939,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.09669873417721521,1 vs 0,-3.4358979555171123,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.09921582278481013,1 vs 0,-3.4348118923652775,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.10173291139240508,1 vs 0,-3.435833131401412,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.10425,1 vs 0,-3.4391162090724894,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.015545,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,146.0,43.0,103.0,-0.8668106746107854,0.18069405495455215
4,SPXT_LAG_0,0.02,-0.00838,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,145.0,10.0,135.0,-2.557596383156278,0.3203407077454148
4,SPXT_LAG_0,0.02,-0.00468,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,146.0,6.0,140.0,-3.073405311872209,0.40120268140750726
4,SPXT_LAG_0,0.02,-0.00203,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,146.0,2.0,144.0,-4.056988775678332,0.6379031393753393
4,SPXT_LAG_0,0.02,-0.00014,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,145.0,4.0,141.0,-3.448222320307018,0.47884168577036973
4,SPXT_LAG_0,0.02,0.00148,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,145.0,5.0,140.0,-3.240459396535375,0.43466725151614743
4,SPXT_LAG_0,0.02,0.003345,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,146.0,3.0,143.0,-3.713572066704308,0.5410017808004594
4,SPXT_LAG_0,0.02,0.00554,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,145.0,7.0,138.0,-2.9159673050851285,0.37490472114902945
4,SPXT_LAG_0,0.02,0.00904,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,145.0,9.0,136.0,-2.665032816018519,0.335543089961251
4,SPXT_LAG_0,0.02,0.016025,1 vs 0,,group_weighted_multinomial_logistic_gam,market,0.5,146.0,48.0,98.0,-0.7084927502346058,0.17541619356544685
4,SPXT_LAG_0,0.02,-0.0946,2 vs 0,-0.4293677481432249,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.09208291139240507,2 vs 0,-0.4404528594946115,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08956582278481012,2 vs 0,-0.45156743650701714,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08704873417721519,2 vs 0,-0.4627150584598552,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08453164556962026,2 vs 0,-0.4738993046325388,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08201455696202532,2 vs 0,-0.48512375430448107,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07949746835443039,2 vs 0,-0.4963919867550951,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
